OBJECTID,Shape_Leng,Shape_Area,Zone,LocationID,Borough,lon,lat
1,0.116357453189,7.823067885e-4,Newark Airport,1,EWR,935996.8210162065,191376.74953083202
2,0.43346966679,0.00486634037837,Jamaica Bay,2,Queens,1031085.7186032843,164018.75440320166
3,0.0843411059012,3.14414156821e-4,Allerton/Pelham Gardens,3,Bronx,1026452.6168734727,254265.47865856893
4,0.0435665270921,1.11871946192e-4,Alphabet City,4,Manhattan,990633.9806410479,202959.7823911368
5,0.0921464898574,4.97957489363e-4,Arden Heights,5,Staten Island,931871.3700680139,140681.35137597343
6,0.150490542523,6.06460984581e-4,Arrochar/Fort Wadsworth,6,Staten Island,964319.735448061,157998.9356119239
7,0.107417171123,3.89787989274e-4,Astoria,7,Queens,1006496.6791586807,216719.21816867893
8,0.0275906911574,2.6587716279e-5,Astoria Park,8,Queens,1005551.5711778702,222936.08755158543
9,0.0997840924705,3.38443803197e-4,Auburndale,9,Queens,1043002.6774243254,212969.8490136597
10,0.0998394794152,4.35823818081e-4,Baisley Park,10,Queens,1042223.6050722591,186706.49646915717
11,0.0792110389596,2.6452053504e-4,Bath Beach,11,Brooklyn,982170.7832338787,159429.3168836981
12,0.0366613013579,4.15116236727e-5,Battery Park,12,Manhattan,979934.7305677243,195378.9728508775
13,0.0502813228631,1.49358592917e-4,Battery Park City,13,Manhattan,979792.331028984,198691.52543753176
14,0.175213698053,0.00138177826442,Bay Ridge,14,Brooklyn,975952.0350819234,166921.55042206828
15,0.14433622262,9.25219395547e-4,Bay Terrace/Fort Totten,15,Queens,1043521.3830455702,224738.6129755755
16,0.141291873771,8.71889446182e-4,Bayside,16,Queens,1047016.784330188,217243.7604961802
17,0.093522632948,3.22957654799e-4,Bedford,17,Brooklyn,998142.2060786379,191215.0683591191
18,0.0697995498569,1.48850163948e-4,Bedford Park,18,Bronx,1014623.3272763422,255416.74215301158
19,0.101824875452,5.46661094782e-4,Bellerose,19,Queens,1060002.7496102,207352.35251648712
20,0.0514401924362,1.34512633032e-4,Belmont,20,Bronx,1015821.8614530906,251810.303512513
21,0.115973569062,3.80251345507e-4,Bensonhurst East,21,Brooklyn,988821.3915776814,158393.65778602433
22,0.126170229196,4.72062684608e-4,Bensonhurst West,22,Brooklyn,985566.4176542887,162323.8287235864
23,0.290556028962,0.00219556576201,Bloomfield/Emerson Hill,23,Staten Island,936800.3814228631,160268.1237133335
24,0.0469999619287,6.07235737749e-5,Bloomingdale,24,Manhattan,993807.2716583572,231458.3760559646
25,0.0471458199319,1.24168267356e-4,Boerum Hill,25,Brooklyn,988101.2213261976,189071.57913936634
26,0.12354780707,5.34039927626e-4,Borough Park,26,Brooklyn,987397.4626662626,169148.40746897226
27,0.202508808518,0.00134088762746,Breezy Point/Fort Tilden/Riis Beach,27,Queens,1010116.0525911167,142998.097106859
28,0.097960782214,2.91203927662e-4,Briarwood/Jamaica Hills,28,Queens,1037276.450260145,198588.18036389697
29,0.0714083127733,2.01673837402e-4,Brighton Beach,29,Brooklyn,995023.0950078965,150924.27687794657
30,0.0945097669793,1.45862107626e-4,Broad Channel,30,Queens,1033697.3819386285,159266.0868838442
31,0.0964245666516,3.33975927329e-4,Bronx Park,31,Bronx,1018696.4006329516,251801.91339506747
32,0.05426721601,1.50879171971e-4,Bronxdale,32,Bronx,1021618.2183901309,254085.68414675994
33,0.0532702931967,1.47416802448e-4,Brooklyn Heights,33,Brooklyn,985567.1393607879,192774.49236567307
34,0.0657059323545,1.73946146651e-4,Brooklyn Navy Yard,34,Brooklyn,992238.7448684232,194618.42574558523
35,0.085787918592,3.23825195932e-4,Brownsville,35,Brooklyn,1009147.2314989058,181203.32110491273
36,0.0870507867063,2.47666139269e-4,Bushwick North,36,Brooklyn,1007067.3784547453,194506.2645740725
37,0.142810040466,4.52062644782e-4,Bushwick South,37,Brooklyn,1005813.8376355437,192491.0725491703
38,0.0832175685234,3.27392684821e-4,Cambria Heights,38,Queens,1057581.8857305443,192354.37534157524
39,0.132369620757,9.0028293862e-4,Canarsie,39,Brooklyn,1012077.4831532118,171746.3489405953
40,0.0518506648762,1.08949211644e-4,Carroll Gardens,40,Brooklyn,985371.6110268093,186726.9441730333
41,0.052793109453,1.43093037737e-4,Central Harlem,41,Manhattan,997734.6452331402,232321.2905475168
42,0.0927092274616,2.63896952605e-4,Central Harlem North,42,Manhattan,1000643.632259087,237395.8715478042
43,0.0997386183576,3.79662912054e-4,Central Park,43,Manhattan,993789.0096985319,224356.21221165065
44,0.235688967594,0.00194465649192,Charleston/Tottenville,44,Staten Island,919325.6707014753,130813.71730920512
45,0.0459068626235,9.13594688556e-5,Chinatown,45,Manhattan,984762.4692829204,198844.63611660182
46,0.134475429879,9.26391677672e-4,City Island,46,Bronx,1044565.4049743084,248697.32700109552
47,0.0898275563294,1.63198117339e-4,Claremont/Bathgate,47,Bronx,1011831.0101993148,246329.04426500178
48,0.0437467441431,9.42538425377e-5,Clinton East,48,Manhattan,987063.1857021254,216986.07003374878
49,0.0752900183427,2.03185525471e-4,Clinton Hill,49,Brooklyn,994687.7989075348,189923.67993134004
50,0.0557479867536,1.73249283326e-4,Clinton West,50,Manhattan,985597.5343919232,218437.82028573466
51,0.0953613442277,3.95756553505e-4,Co-Op City,51,Bronx,1031744.9710915012,257736.0317728284
52,0.0289076710093,4.52027509603e-5,Cobble Hill,52,Brooklyn,985158.534254694,189441.98718140792
53,0.161500913385,9.47530980821e-4,College Point,53,Queens,1027782.0265390344,223823.08273507966
54,0.0762192448554,1.32452130536e-4,Columbia Street,54,Brooklyn,983442.5831941621,189642.16029755108
55,0.149956807524,7.36274713586e-4,Coney Island,55,Brooklyn,987599.1763107228,149479.23529518777
56,0.0568478126677,1.80907844436e-4,Corona,56,Queens,1023365.172611275,209422.59485546063
57,0.0192705048557,1.80259807917e-5,Corona,56,Queens,1024817.4538048006,213218.63492433997
58,0.0598554094851,2.04980931361e-4,Country Club,58,Bronx,1033945.7966954281,245891.95429244667
59,0.0377948070893,6.28765230648e-5,Crotona Park,59,Bronx,1013307.8668851721,244801.2399171087
60,0.0786482878226,1.61833284912e-4,Crotona Park East,60,Bronx,1015824.0717104394,243143.05780958594
61,0.117310808097,5.10772092295e-4,Crown Heights North,61,Brooklyn,1001091.0141538235,185009.74769500326
62,0.0822593359838,1.58238169004e-4,Crown Heights South,62,Brooklyn,998457.1474750465,182119.2885742171
63,0.119100721883,3.53190910142e-4,Cypress Hills,63,Brooklyn,1018038.508018096,188441.23189381982
64,0.18445188474,0.00105790284614,Douglaston,64,Queens,1056461.1692268404,216496.53369807045
65,0.0446070683658,8.1803882541e-5,Downtown Brooklyn/MetroTech,65,Brooklyn,988108.3766447257,192606.94834778874
66,0.0546334593634,1.08378855948e-4,DUMBO/Vinegar Hill,66,Brooklyn,988214.5459807585,195128.66351404483
67,0.0997470781551,3.94282272487e-4,Dyker Heights,67,Brooklyn,980418.277887647,165020.58539900745
68,0.0493373795569,1.11073378655e-4,East Chelsea,68,Manhattan,984272.7786326221,211948.91240008172
69,0.0789896450483,1.9905160381e-4,East Concourse/Concourse Village,69,Bronx,1007764.085658132,242196.03761468016
70,0.0638403183367,1.95458476728e-4,East Elmhurst,70,Queens,1020706.745137329,217413.87058175215
71,0.0931694551828,3.82572587364e-4,East Flatbush/Farragut,71,Brooklyn,1001465.1562155226,174013.8443005886
72,0.0952020695166,3.23532461947e-4,East Flatbush/Remsen Village,72,Brooklyn,1005823.7039946363,176959.91492476902
73,0.0853020209129,2.91799754395e-4,East Flushing,73,Queens,1037640.2378106113,214077.6206734465
74,0.11029093625,2.95038418204e-4,East Harlem North,74,Manhattan,1001596.4822018786,231170.7231356335
75,0.0876638997685,2.4056392715e-4,East Harlem South,75,Manhattan,999272.1113831651,227103.7596245498
76,0.241203016269,0.00126660143241,East New York,76,Brooklyn,1018425.395770319,180096.55428265326
77,0.075461081444,1.91917981315e-4,East New York/Pennsylvania Avenue,77,Brooklyn,1013278.1286526012,182139.0472945757
78,0.0935944495806,1.91114419551e-4,East Tremont,78,Bronx,1015923.6509313948,247139.97024585522
79,0.0426249113144,1.07893068218e-4,East Village,79,Manhattan,988147.6579909977,204368.5018753222
80,0.117212621448,4.0732245622e-4,East Williamsburg,80,Brooklyn,1001771.8842984998,199911.28634464616
81,0.197592771731,3.9956655019e-4,Eastchester,81,Bronx,1029422.4201378655,260268.37646953634
82,0.119875649697,3.23601079994e-4,Elmhurst,82,Queens,1018302.534288022,208718.58925015814
83,0.105984933269,2.17463718718e-4,Elmhurst/Maspeth,83,Queens,1014131.0479577216,208286.3127456639
84,0.233623987032,0.00207375572052,Eltingville/Annadale/Prince's Bay,84,Staten Island,932076.4501930304,131946.88658336038
85,0.0574751473562,1.43637804933e-4,Erasmus,85,Brooklyn,997674.78128442,174677.62359658885
86,0.134245282582,6.23278815249e-4,Far Rockaway,86,Queens,1052215.5705983127,158853.81499105782
87,0.0369015496117,6.72050210692e-5,Financial District North,87,Manhattan,982171.727891981,196785.94084490498
88,0.0352046035327,5.72999455414e-5,Financial District South,88,Manhattan,981057.2642958593,195528.92479920073
89,0.122794569553,4.47548142373e-4,Flatbush/Ditmas Park,89,Brooklyn,995082.8902422966,171682.828384498
90,0.0307591620819,5.53132476305e-5,Flatiron,90,Manhattan,985089.2186553577,209708.74184834195
91,0.124996624585,5.37330013243e-4,Flatlands,91,Brooklyn,1003654.1440255485,167452.06576771155
92,0.117830066799,3.74946617289e-4,Flushing,92,Queens,1031660.7208707302,216612.8159510848
93,0.170998027597,5.94278183978e-4,Flushing Meadows-Corona Park,93,Queens,1028348.080639231,209164.12047047325
94,0.0498326083147,6.25819407393e-5,Fordham South,94,Bronx,1012040.6652433861,251942.57172494626
95,0.113629605476,5.7277033803e-4,Forest Hills,95,Queens,1026474.8421587804,202150.22155636095
96,0.185180248095,5.47566253402e-4,Forest Park/Highland Park,96,Queens,1019865.1809046713,193239.00952966628
97,0.0624760147423,1.63303970435e-4,Fort Greene,97,Brooklyn,991215.6982442432,190949.61806373845
98,0.121661018278,4.85773020954e-4,Fresh Meadows,98,Queens,1045981.3581738913,206939.6178548511
99,0.1833714893,0.00121016463877,Freshkills Park,99,Staten Island,932463.5770637904,149465.339574893
100,0.0248131090342,3.74700210291e-5,Garment District,100,Manhattan,987356.7624025445,213801.8903360138
101,0.101709836277,4.52342528877e-4,Glen Oaks,101,Queens,1064321.6844356095,211194.12738601945
102,0.136900484646,2.96595466345e-4,Glendale,102,Queens,1018703.895664441,195621.72184014547
103,0.0143055167343,6.33056361314e-6,Governor's Island/Ellis Island/Liberty Island,103,Manhattan,971690.5178691468,190614.3221264578
104,0.0212208330928,1.19205339715e-5,Governor's Island/Ellis Island/Liberty Island,103,Manhattan,972944.834560436,193859.36077724295
105,0.0774253398314,3.68636392805e-4,Governor's Island/Ellis Island/Liberty Island,103,Manhattan,978960.5655138263,190219.67387671873
106,0.0492110119798,1.13616826567e-4,Gowanus,106,Brooklyn,986844.2853590193,184655.37448370285
107,0.0380413645908,7.46112192675e-5,Gramercy,107,Manhattan,988669.5907152938,207721.84599820204
108,0.11117141227,3.52866009465e-4,Gravesend,108,Brooklyn,989407.3274538667,153648.26672411078
109,0.178267819599,0.00116960076185,Great Kills,109,Staten Island,942318.0695212188,140370.83697271615
110,0.103946292913,5.25745098785e-4,Great Kills Park,110,Staten Island,948580.6069577679,138144.9262860037
111,0.0599308800658,2.08683276503e-4,Green-Wood Cemetery,111,Brooklyn,986959.7652887183,176867.70260620638
112,0.107267875765,4.62068671429e-4,Greenpoint,112,Brooklyn,998235.3938487581,205059.36264106684
113,0.032745350566,5.79634566998e-5,Greenwich Village North,113,Manhattan,985828.421266087,206174.92383447656
114,0.0317270347711,4.70207704945e-5,Greenwich Village South,114,Manhattan,984976.1217439739,204630.6079875288
115,0.116169413964,3.73168991958e-4,Grymes Hill/Clifton,115,Staten Island,959864.0081423334,164432.11292961225
116,0.0681164844265,2.60415337217e-4,Hamilton Heights,116,Manhattan,998496.7141201992,240584.4096847475
117,0.169885857987,9.0429427072e-4,Hammels/Arverne,117,Queens,1042676.051909837,155778.33770686
118,0.243966217692,0.00182693922711,Heartland Village/Todt Hill,118,Staten Island,947313.2115533687,153002.19989383093
119,0.0835070355744,1.85779447534e-4,Highbridge,119,Bronx,1004682.7553744144,244528.83953167713
120,0.0832612702158,9.31462821313e-5,Highbridge Park,120,Manhattan,1003566.2603626965,247748.72753217374
121,0.0969153373445,3.84563286473e-4,Hillcrest/Pomonok,121,Queens,1039005.1967439284,204689.62747248283
122,0.0665318439446,2.26597104976e-4,Hollis,122,Queens,1050471.5070567904,198271.7856382352
123,0.0834211389387,2.96445173366e-4,Homecrest,123,Brooklyn,994154.4642102672,157857.78764196427
124,0.127724410062,7.54837821479e-4,Howard Beach,124,Queens,1027278.1400976918,179131.7944112152
125,0.0497322121757,7.64293209892e-5,Hudson Sq,125,Manhattan,982175.1477564898,203883.8201161869
126,0.12994872606,7.032738273e-4,Hunts Point,126,Bronx,1015935.0216336484,235158.32693405412
127,0.0600188855815,1.63195647796e-4,Inwood,127,Manhattan,1006568.4872156872,254822.37005747703
128,0.0702090290681,2.07405982869e-4,Inwood Hill Park,128,Manhattan,1005166.5528590761,257117.8925632856
129,0.0932727273403,4.7398833179e-4,Jackson Heights,129,Queens,1016021.9707671711,215206.60151323938
130,0.142028320665,4.68322514327e-4,Jamaica,130,Queens,1041371.2864290018,195964.28511474803
131,0.116547120922,4.23696152789e-4,Jamaica Estates,131,Queens,1046313.573758885,201910.06961972587
132,0.24547851707,0.00203830095472,JFK Airport,132,Queens,1043488.1868617043,175062.67758486557
133,0.065134863162,1.57188987507e-4,Kensington,133,Brooklyn,990855.5089877855,172661.46367470387
134,0.0695878223284,2.02375182143e-4,Kew Gardens,134,Queens,1031739.0022501621,197284.97927258155
135,0.121793045659,4.67912240542e-4,Kew Gardens Hills,135,Queens,1033808.0664842709,204694.61460670287
136,0.0906287154122,1.48524994129e-4,Kingsbridge Heights,136,Bronx,1010274.3202539553,254530.65081090233
137,0.0461076242707,1.16455098947e-4,Kips Bay,137,Manhattan,990763.615736023,209039.3538898732
138,0.107466933508,5.36797294367e-4,LaGuardia Airport,138,Queens,1019251.3069710146,221428.0449285067
139,0.0932997884483,4.46669880154e-4,Laurelton,139,Queens,1055193.0494190822,186064.86991700612
140,0.0475842911325,1.14203907779e-4,Lenox Hill East,140,Manhattan,996787.6630546569,218166.4343533099
141,0.0415144638712,7.66545579019e-5,Lenox Hill West,141,Manhattan,995431.1975186545,218699.1927268597
142,0.0381758942321,7.56537920738e-5,Lincoln Square East,142,Manhattan,989365.0684741095,221132.7753491493
143,0.0541798538849,1.5109426901e-4,Lincoln Square West,143,Manhattan,987671.7097013488,221982.08549339895
144,0.0276201668505,4.74789670369e-5,Little Italy/NoLiTa,144,Manhattan,985104.1485227022,201915.7902757445
145,0.114313844981,3.46641733797e-4,Long Island City/Hunters Point,145,Queens,998411.7431344199,210842.5649406597
146,0.0471405215717,1.04638923425e-4,Long Island City/Queens Plaza,146,Queens,1002305.987357746,214074.29665507557
147,0.0587654949268,1.06418172757e-4,Longwood,147,Bronx,1012217.112268326,237923.2448208716
148,0.0391305015633,6.97489921327e-5,Lower East Side,148,Manhattan,986773.5460915552,201205.26489160702
149,0.0836805821837,2.70639618955e-4,Madison,149,Brooklyn,998651.5086685958,159666.94559370997
150,0.089331491183,3.32568036088e-4,Manhattan Beach,150,Brooklyn,999908.708734879,150763.56700925966
151,0.0548899410999,1.28848901918e-4,Manhattan Valley,151,Manhattan,993063.3768608607,229997.64462554798
152,0.0579094768782,1.46637644064e-4,Manhattanville,152,Manhattan,997042.6288289687,237290.9067861937
153,0.024737239022,3.24684964817e-5,Marble Hill,153,Manhattan,1009034.6862684477,258429.1415350053
154,0.22733157076,0.00178968692433,Marine Park/Floyd Bennett Field,154,Brooklyn,1011301.6035144813,155545.39617014467
155,0.169808473032,8.68261018498e-4,Marine Park/Mill Basin,155,Brooklyn,1007772.0738285038,163199.94683754715
156,0.14447689047599999,0.0010521217443,Mariners Harbor,156,Staten Island,937831.3979157201,169323.09568286434
157,0.131300217777,3.54370128323e-4,Maspeth,157,Queens,1011322.0566218888,203062.48265449997
158,0.0548099905515,1.85568253002e-4,Meatpacking/West Village West,158,Manhattan,981760.1630097581,207069.85524818485
159,0.064363233206,1.7124910387e-4,Melrose South,159,Bronx,1008372.3431942797,237403.26520762578
160,0.14151914297,5.71234977994e-4,Middle Village,160,Queens,1017500.3337736354,201008.7480716868
161,0.0358039100611,7.19130682992e-5,Midtown Center,161,Manhattan,990428.525989642,215447.5272239114
162,0.0352698146219,4.78936962112e-5,Midtown East,162,Manhattan,991908.5895678961,214959.58164229896
163,0.0341768669752,4.08567804196e-5,Midtown North,163,Manhattan,990463.7954353758,217776.88244811285
164,0.0357716119908,5.56318237441e-5,Midtown South,164,Manhattan,988362.833435725,212002.89303566894
165,0.088608036213,3.53959317019e-4,Midwood,165,Brooklyn,996235.9681391948,165498.6289448304
166,0.0688237542871,2.55276270405e-4,Morningside Heights,166,Manhattan,994834.7872526807,234186.3268721064
167,0.0908159737292,1.67529391193e-4,Morrisania/Melrose,167,Bronx,1011274.10312161,240777.45048551454
168,0.114517434155,5.47058100444e-4,Mott Haven/Port Morris,168,Bronx,1007276.6552625739,233426.31053268496
169,0.0601046580332,1.46027537733e-4,Mount Hope,169,Bronx,1010498.8966177455,248626.50066211302
170,0.0457690091051,7.43150675972e-5,Murray Hill,170,Manhattan,990209.6000586881,211701.31597992923
171,0.107353876244,5.20099538161e-4,Murray Hill-Queens,171,Queens,1037005.2460888692,219265.33237573717
172,0.118476116148,6.58402501406e-4,New Dorp/Midland Beach,172,Staten Island,955074.2840242308,147604.72249633484
173,0.0600639661414,1.78329851357e-4,North Corona,173,Queens,1022197.0870768115,213491.23352672328
174,0.0678177559602,1.55928664422e-4,Norwood,174,Bronx,1017705.6853706642,258865.70276778052
175,0.134897665102,5.04920726134e-4,Oakland Gardens,175,Queens,1052245.0396521217,209946.98083071175
176,0.151995190703,6.57782126267e-4,Oakwood,176,Staten Island,950189.7218172458,144049.9002898066
177,0.0715805407056,1.98894762248e-4,Ocean Hill,177,Brooklyn,1008206.4863896965,185807.8687629447
178,0.0682528770739,1.75805409143e-4,Ocean Parkway South,178,Brooklyn,992488.3342148869,164182.16421082919
179,0.0713808644377,1.83893478476e-4,Old Astoria,179,Queens,1004100.5532674759,220388.74304930714
180,0.0805277671523,2.47682193353e-4,Ozone Park,180,Queens,1026677.5797665772,185450.93130147815
181,0.0895372399547,3.06890292807e-4,Park Slope,181,Brooklyn,989405.7462567874,183512.2660660261
182,0.0393606369479,9.10644156732e-5,Parkchester,182,Bronx,1023546.1195878815,244523.60478571683
183,0.0398262960348,9.51929451066e-5,Pelham Bay,183,Bronx,1030844.6058161812,248698.68510380972
184,0.260815683043,0.00198883363103,Pelham Bay Park,184,Bronx,1037392.699343806,255671.9999736178
185,0.0861619681636,2.28537100218e-4,Pelham Parkway,185,Bronx,1024530.2532265898,250593.75299100287
186,0.0246963902234,3.70729416953e-5,Penn Station/Madison Sq West,186,Manhattan,986345.3986004688,211974.4462185665
187,0.126868431324,4.21195755741e-4,Port Richmond,187,Staten Island,945169.9571905945,168165.56998955715
188,0.0977983968367,3.13003032771e-4,Prospect-Lefferts Gardens,188,Brooklyn,998832.3808813528,179279.2193722589
189,0.0486743306502,1.01427594033e-4,Prospect Heights,189,Brooklyn,993240.6149544868,186158.9037662549
190,0.0743294660829,2.70873666522e-4,Prospect Park,190,Brooklyn,992874.5690428183,180324.55048010786
191,0.130932637664,6.88460603185e-4,Queens Village,191,Queens,1055901.629081539,200041.3338398747
192,0.11196461971,3.73808019026e-4,Queensboro Hill,192,Queens,1035449.7277915126,210299.49328919078
193,0.0655299584801,1.45591657944e-4,Queensbridge/Ravenswood,193,Queens,1000318.472670505,216284.73388045916
194,0.0817938353532,2.73481702719e-4,Randalls Island,194,Manhattan,1005129.3426642001,227468.71626552643
195,0.131308244067,8.01651953985e-4,Red Hook,195,Brooklyn,981704.0644012764,185397.130970592
196,0.0832421106332,1.974713336e-4,Rego Park,196,Queens,1022128.768997929,203864.03666497374
197,0.108568532229,5.04689160432e-4,Richmond Hill,197,Queens,1031135.2530615153,192362.21698943275
198,0.134094242763,4.99809882564e-4,Ridgewood,198,Queens,1011501.4868411963,196698.5440138868
199,0.0778085005169,2.88747549303e-4,Rikers Island,199,Bronx,1016742.2004998754,227529.73980097013
200,0.112661735435,7.44643168558e-4,Riverdale/North Riverdale/Fieldston,200,Bronx,1009963.3806263335,267014.1902550762
201,0.130404117686,6.19350747819e-4,Rockaway Park,201,Queens,1027736.5213460764,149890.08516115407
202,0.0699215712618,1.06175396322e-4,Roosevelt Island,202,Manhattan,998114.2657052308,216861.1622843492
203,0.189937815868,6.15129861659e-4,Rosedale,203,Queens,1056534.442660378,179057.24700622662
204,0.101912418311,6.41384265972e-4,Rossville/Woodrow,204,Staten Island,926485.9389783139,136202.98565098652
205,0.141953388327,7.66216513505e-4,Saint Albans,205,Queens,1049933.6363754966,191188.33726989798
206,0.212756793386,9.44392507762e-4,Saint George/New Brighton,206,Staten Island,955854.2053012605,172088.09238731404
207,0.0283756831492,4.47230848441e-5,Saint Michaels Cemetery/Woodside,207,Queens,1012130.8105779189,217633.2993820884
208,0.214721009581,0.00202032598969,Schuylerville/Edgewater Park,208,Bronx,1033088.7374246694,239283.26241425486
209,0.0306953113473,3.88703351209e-5,Seaport,209,Manhattan,983234.0457223997,197610.82357761072
210,0.114851983372,4.53155131253e-4,Sheepshead Bay,210,Brooklyn,1000772.9141552745,154972.18794490898
211,0.0252345082132,3.97291966087e-5,SoHo,211,Manhattan,983823.8071164908,203008.49133300316
212,0.0671290653429,1.61276191858e-4,Soundview/Bruckner,212,Bronx,1020315.9032821191,240931.2162116811
213,0.159958783822,9.04077906339e-4,Soundview/Castle Hill,213,Bronx,1023516.9037806736,237276.93187677432
214,0.135300314246,8.11976523012e-4,South Beach/Dongan Hills,214,Staten Island,960498.7813147745,153070.10553933622
215,0.103556453625,3.95647022725e-4,South Jamaica,215,Queens,1042216.2459479597,192344.28083004424
216,0.116797554681,8.16076647781e-4,South Ozone Park,216,Queens,1034328.3000648457,185669.03225079025
217,0.0553905251285,1.14733270758e-4,South Williamsburg,217,Brooklyn,995729.6302937921,195734.9381403171
218,0.0837008281049,2.81293736407e-4,Springfield Gardens North,218,Queens,1047209.1610987317,184218.4311918923
219,0.155126669675,4.28176336771e-4,Springfield Gardens South,219,Queens,1049585.194577725,180616.2541370329
220,0.106015943267,3.13035744467e-4,Spuyten Duyvil/Kingsbridge,220,Bronx,1008953.1291249457,260773.7150891078
221,0.166218220846,8.90111567051e-4,Stapleton,221,Staten Island,963788.5728740784,164718.9103742411
222,0.048389352797600003,1.30268343918e-4,Starrett City,222,Brooklyn,1016880.3445569858,175209.80327776715
223,0.166021925275,7.6436070058e-4,Steinway,223,Queens,1010448.2493393868,222528.47602007707
224,0.0440204462769,9.84786989135e-5,Stuy Town/Peter Cooper Village,224,Manhattan,990735.9403089168,205899.41753291615
225,0.0887992073281,3.10835395162e-4,Stuyvesant Heights,225,Brooklyn,1003139.565788068,190001.9666835319
226,0.168957762041,7.6194414504e-4,Sunnyside,226,Queens,1005124.9821983831,208048.82712851572
227,0.0828301570789,2.68316529534e-4,Sunset Park East,227,Brooklyn,982958.7984940856,173132.83396129613
228,0.177685177706,9.93414783816e-4,Sunset Park West,228,Brooklyn,981122.0045878767,176946.79144550333
229,0.0425252900116,9.47058230931e-5,Sutton Place/Turtle Bay North,229,Manhattan,993906.1723071609,214975.36687718582
230,0.0310283096779,5.60914463266e-5,Times Sq/Theatre District,230,Manhattan,988628.0600467023,216099.1397683868
231,0.0634201165587,1.66929752992e-4,TriBeCa/Civic Center,231,Manhattan,982065.7013854686,200780.54042725134
232,0.0614709085331,2.16049973456e-4,Two Bridges/Seward Park,232,Manhattan,988955.8875201414,199673.27702499644
233,0.048035918294,1.16188094682e-4,UN/Turtle Bay South,233,Manhattan,992439.5608777382,212491.9358422481
234,0.0360721994984,7.31054382894e-5,Union Sq,234,Manhattan,986894.2367963481,209001.62663046308
235,0.0761668426519,2.12844547337e-4,University Heights/Morris Heights,235,Bronx,1007494.9920085217,249885.02158991544
236,0.0442519223099,1.02864345211e-4,Upper East Side North,236,Manhattan,996155.3867656847,223613.7535760244
237,0.0422126003388,9.59873206621e-5,Upper East Side South,237,Manhattan,993769.0237137815,219305.82782555217
238,0.0601093114033,1.84763693765e-4,Upper West Side North,238,Manhattan,991712.7644413216,227717.51805898765
239,0.0636261152958,2.04715440774e-4,Upper West Side South,239,Manhattan,990167.4982917221,224895.87216479488
240,0.146069764379,7.22130920707e-4,Van Cortlandt Park,240,Bronx,1016879.869198504,265226.43863678636
241,0.0687645777649,2.5467697592e-4,Van Cortlandt Village,241,Bronx,1013115.8817520497,258631.99219990108
242,0.138136446433,3.60072450014e-4,Van Nest/Morris Park,242,Bronx,1025564.8278476673,247818.58816932616
243,0.0943314999364,4.38377341503e-4,Washington Heights North,243,Manhattan,1002830.5879831794,251552.22868853094
244,0.0805686044599,3.59702747951e-4,Washington Heights South,244,Manhattan,1000464.3110476533,245939.88065875435
245,0.0959830596604,4.66175414294e-4,West Brighton,245,Staten Island,955698.9158310394,168837.0586013862
246,0.0694671937437,2.81298327076e-4,West Chelsea/Hudson Yards,246,Manhattan,983137.466109154,213727.4000817298
247,0.0929678582271,2.05617157843e-4,West Concourse,247,Bronx,1005169.1230273262,241308.75707519878
248,0.0569191167671,1.49592769799e-4,West Farms/Bronx River,248,Bronx,1019590.3761034976,243211.97877621523
249,0.03638434365,7.22155957729e-5,West Village,249,Manhattan,983453.2246483457,206902.40799528995
250,0.0796263465454,2.40975845956e-4,Westchester Village/Unionport,250,Bronx,1026135.8006293959,242470.43505891712
251,0.1377111611,6.25754983157e-4,Westerleigh,251,Staten Island,949450.1344788744,164047.36514970663
252,0.158004373564,0.00102526406057,Whitestone,252,Queens,1035297.1584300715,226490.62684080808
253,0.0360514998192,7.83395761191e-5,Willets Point,253,Queens,1028229.9452522065,216434.84686612728
254,0.0858863754861,3.60040216032e-4,Williamsbridge/Olinville,254,Bronx,1023253.9608941409,260702.71418530465
255,0.0623841997664,1.72309184842e-4,Williamsburg (North Side),255,Brooklyn,996053.8033052003,201159.03335346075
256,0.0679149669603,1.68611097013e-4,Williamsburg (South Side),256,Brooklyn,995365.8780821689,198271.799699528
257,0.0586690259793,1.3890947321e-4,Windsor Terrace,257,Brooklyn,990359.3815942473,177405.49666927903
258,0.0890133787693,3.66209617143e-4,Woodhaven,258,Queens,1024249.8716237351,190229.06962103507
259,0.126750305191,3.94552487366e-4,Woodlawn/Wakefield,259,Bronx,1025106.2307871642,266453.4145522804
260,0.133514154636,4.22345326907e-4,Woodside,260,Queens,1010211.9773426988,210434.8918941504
261,0.0271204563616,3.43423231652e-5,World Trade Center,261,Manhattan,980639.5117675496,197635.1737024674
262,0.0490636231541,1.22330270966e-4,Yorkville East,262,Manhattan,999064.7250824339,221974.400787808
263,0.0370166252994,6.57697664169e-5,Yorkville West,263,Manhattan,997817.9196611019,223005.98840944972
